epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1236.61,0.8464,1.57811,1.29579,0.54417,0.73424,0.72253,0.53845,0.99908,1.23081,1.48005,0.0091882,0.0091882,0.0091882
43,1266.26,0.85024,1.55283,1.29278,0.54647,0.74095,0.73193,0.55215,0.98113,1.17898,1.46557,0.0091684,0.0091684,0.0091684
44,1295.74,0.8449,1.54682,1.28297,0.58893,0.74003,0.75037,0.56769,0.98576,1.22144,1.48226,0.0091486,0.0091486,0.0091486
45,1325.41,0.85392,1.54838,1.29482,0.57194,0.74156,0.72766,0.54028,0.99001,1.28095,1.4377,0.0091288,0.0091288,0.0091288
46,1354.78,0.8289,1.51779,1.27284,0.65171,0.6419,0.7544,0.57212,0.98244,1.25891,1.46915,0.009109,0.009109,0.009109
47,1382.7,0.83519,1.5224,1.28715,0.58781,0.75414,0.74206,0.56754,0.96196,1.20782,1.41594,0.0090892,0.0090892,0.0090892
48,1411.1,0.84353,1.49107,1.28745,0.62004,0.73124,0.74893,0.56806,0.97369,1.21583,1.42853,0.0090694,0.0090694,0.0090694
49,1439.66,0.83615,1.51897,1.28574,0.61493,0.72065,0.74984,0.56741,0.95086,1.12943,1.41151,0.0090496,0.0090496,0.0090496
50,1468.33,0.82438,1.46016,1.27109,0.601,0.67366,0.73521,0.55441,0.9545,1.18296,1.41404,0.0090298,0.0090298,0.0090298
51,1496.92,0.82782,1.45161,1.26967,0.5935,0.69391,0.72658,0.54974,0.94576,1.14396,1.3965,0.00901,0.00901,0.00901
52,1525.53,0.82407,1.44042,1.27101,0.5934,0.77198,0.77134,0.59297,0.96883,1.12512,1.41327,0.0089902,0.0089902,0.0089902
53,1554.12,0.81977,1.44317,1.26873,0.66743,0.76769,0.81203,0.62248,0.94812,1.05998,1.40111,0.0089704,0.0089704,0.0089704
54,1582.86,0.81282,1.4178,1.26777,0.69421,0.72422,0.79459,0.61115,0.95092,1.04085,1.41068,0.0089506,0.0089506,0.0089506
55,1611.4,0.81046,1.41485,1.25935,0.69344,0.70004,0.79458,0.59438,0.97036,1.08707,1.44912,0.0089308,0.0089308,0.0089308
56,1640.39,0.79933,1.37561,1.2576,0.64242,0.71956,0.78556,0.6025,0.94223,1.12715,1.40206,0.008911,0.008911,0.008911
57,1669.12,0.81175,1.42017,1.26963,0.64377,0.76528,0.78297,0.59815,0.93785,1.04162,1.38353,0.0088912,0.0088912,0.0088912
58,1698.81,0.81035,1.37949,1.2588,0.62372,0.74901,0.77553,0.59059,0.94854,1.01481,1.39761,0.0088714,0.0088714,0.0088714
59,1728.74,0.79668,1.35479,1.25363,0.65321,0.7535,0.80044,0.60848,0.93109,1.07776,1.3915,0.0088516,0.0088516,0.0088516
60,1758.27,0.80038,1.3527,1.25759,0.70483,0.7152,0.78976,0.60261,0.95912,1.00968,1.41931,0.0088318,0.0088318,0.0088318
61,1787.7,0.79327,1.35633,1.25296,0.65789,0.73386,0.78647,0.59569,0.95086,1.06003,1.39988,0.008812,0.008812,0.008812
62,1817.7,0.79747,1.3648,1.25173,0.68993,0.7595,0.78543,0.60787,0.93666,1.05677,1.38924,0.0087922,0.0087922,0.0087922
63,1847.18,0.79144,1.33131,1.24939,0.63902,0.76242,0.78187,0.59852,0.95017,1.03974,1.40879,0.0087724,0.0087724,0.0087724
64,1876.58,0.79662,1.33546,1.2554,0.59631,0.80154,0.79735,0.60422,0.93575,1.00698,1.3817,0.0087526,0.0087526,0.0087526
65,1905.95,0.79504,1.32288,1.23884,0.70546,0.72751,0.82384,0.63655,0.91799,1.01568,1.3733,0.0087328,0.0087328,0.0087328
66,1935.51,0.80083,1.31325,1.25001,0.68191,0.73422,0.80731,0.62553,0.94863,1.06593,1.39752,0.008713,0.008713,0.008713
67,1964.93,0.78151,1.31885,1.24502,0.63784,0.79241,0.80778,0.61589,0.94728,1.05005,1.4129,0.0086932,0.0086932,0.0086932
68,1994.39,0.78728,1.281,1.23825,0.72984,0.72462,0.8266,0.63154,0.94145,1.02082,1.40048,0.0086734,0.0086734,0.0086734
